name,body_group,force,muscle_group,equipment,description,steps,grip,video_link
Plate Overhead Carry,Upper Body,Hold,Neck,Plate,"Start by standing upright with your feet shoulder-width apart. Hold a single weight plate overhead with both hands, keeping your arms extended straight above your head., Begin walking forward, taking slow and steady steps while maintaining a straight line. Your focus should be on maintaining balance and control of the weight plate overhead., As you walk, continue to keep your arms extended and the weight plate overhead. Try to maintain good posture and avoid leaning forward or backward, as this could result in losing control of the weight plate., Continue walking for a set distance or for a certain amount of time, keeping your focus on proper form and technique. When finished, return to the starting position and repeat as desired.","Start by standing upright with your feet shoulder-width apart. Hold a single weight plate overhead with both hands, keeping your arms extended straight above your head., Begin walking forward, taking slow and steady steps while maintaining a straight line. Your focus should be on maintaining balance and control of the weight plate overhead., As you walk, continue to keep your arms extended and the weight plate overhead. Try to maintain good posture and avoid leaning forward or backward, as this could result in losing control of the weight plate., Continue walking for a set distance or for a certain amount of time, keeping your focus on proper form and technique. When finished, return to the starting position and repeat as desired.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-overhead-carry-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-overhead-carry-side.mp4#t=0.1"
Plate Overhead Shrug,Upper Body,Push,Neck,Plate,"Stand tall with a weight plate overhead., Elevated and depress your scapula., Avoid leaning forward or backwards to keep pressure off of your lumbar spine.","Stand tall with a weight plate overhead., Elevated and depress your scapula., Avoid leaning forward or backwards to keep pressure off of your lumbar spine.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-overhead-shrug-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-overhead-shrug-side.mp4#t=0.1"
Kettlebell Incline Shrug,Upper Body,Pull,Back,Kettlebell,"Leaning across the back section of the bench, with feet firmly on the floor and with arms hanging to the sides., Holding the kettlebell in both hands engage your shoulder blades, as if you are trying to touch them together. Release the shrug.","Leaning across the back section of the bench, with feet firmly on the floor and with arms hanging to the sides., Holding the kettlebell in both hands engage your shoulder blades, as if you are trying to touch them together. Release the shrug.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-incline-shrug-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-incline-shrug-side.mp4#t=0.1"
Elevated Pike Press,Upper Body,Push,Shoulders,Bodyweight,"Use a bench or an object to elevate your feet., Lower your head towards the floor by bending your elbows, Push through your hands and return to the starting pike position., Repeat","Use a bench or an object to elevate your feet., Lower your head towards the floor by bending your elbows, Push through your hands and return to the starting pike position., Repeat",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-pike-pushup-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-pike-pushup-side.mp4#t=0.1"
Cable Upright Row,Upper Body,Unknown,Shoulders,Cable,"Use a handle attachment with the cable set to the bottom of the machine., Pull your elbows straight up toward the ceiling until the attachment is just below your chin then extend until your elbows are fully extended.","Use a handle attachment with the cable set to the bottom of the machine., Pull your elbows straight up toward the ceiling until the attachment is just below your chin then extend until your elbows are fully extended.",Underhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-upright-row-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-upright-row-front.mp4#t=0.1"
Cable Silverback Shrug,Upper Body,Unknown,Back,Cable,"Use a bar attachment. Cable should be set all the way to the bottom., Stand up with the attachment in hand, walk a couple of steps back make sure you are standing upright and not leaning backwards., Retract your shoulder blades and then protract to return to the starting position.","Use a bar attachment. Cable should be set all the way to the bottom., Stand up with the attachment in hand, walk a couple of steps back make sure you are standing upright and not leaning backwards., Retract your shoulder blades and then protract to return to the starting position.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-silverback-shrug-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-silverback-shrug-front.mp4#t=0.1"
Band Horizontal Shrug,Upper Body,Unknown,Neck,Band,"Anchor the band at shoulder height. Take a few steps away until the band is taut., Retract your shoulder blades straight back in schools. Then protract to the starting position.","Anchor the band at shoulder height. Take a few steps away until the band is taut., Retract your shoulder blades straight back in schools. Then protract to the starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-horizontal-shrug-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-horizontal-shrug-side.mp4#t=0.1"
Band Single Arm Overhead Press,Upper Body,Unknown,Shoulders,Band,"Loop the band under one of your feet. The other end of the bed should be in your hand between your thumb and pointer finger., Press the band straight up towards the ceiling. Until your elbow is fully extended.","Loop the band under one of your feet. The other end of the bed should be in your hand between your thumb and pointer finger., Press the band straight up towards the ceiling. Until your elbow is fully extended.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-single-arm-overhead-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-single-arm-overhead-press-side.mp4#t=0.1"
Barbell Upright Row,Upper Body,Pull,Shoulders,Barbell,"Barbell Upright Row: A Comprehensive GuideSetupChoose a barbell that is appropriate for your strength level and fitness goals.Stand with your feet hipwidth apart, knees slightly bent, and the barbell resting on the floor in front of you.Grip the barbell with both hands, using an overhand grip that is slightly wider than shoulderwidth apart.Lift the barbell off the floor and position it at your thighs, keeping your back straight and your core engaged.How to PerformKeeping your elbows close to your sides, lift the barbell straight up towards your chest.Stop when the barbell reaches your chest, or just below your chin, depending on your range of motion and comfort level.Pause for a moment, then slowly lower the barbell back down to your thighs.Repeat the movement for the desired number of reps.TechniqueKeep your back straight and your core engaged throughout the exercise to protect your spine and prevent injury.Maintain control of the barbell at all times, avoiding swinging or jerking movements that can strain your shoulders or upper back.Focus on squeezing your shoulder blades together at the top of the movement to engage your upper back muscles and create a more effective workout.Things to AvoidUsing a weight that is too heavy, which can lead to improper form and increase your risk of injury.Allowing your elbows to flare out to the sides, which can place excessive stress on your shoulders and rotator cuff muscles.Lifting the barbell too high, which can cause discomfort or pain in your neck or shoulders.Rounding your back, which can put unnecessary stress on your spine and increase your risk of injury.","Take a double overhand roughly shoulder width grip., Pull your elbows straight up the ceiling. Aim to get the bar to chin level or slightly higher.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-upright-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-upright-row-side.mp4#t=0.1"
Barbell Z Press,Upper Body,Push,Shoulders,Barbell,"Begin by sitting on the ground with your legs extended and a barbell in your hands, with your palms facing forward and your elbows bent., Keeping your core engaged and your back straight, lift the barbell up from your chest and press it straight up above your head., Lower the barbell back down to your chest.","Begin by sitting on the ground with your legs extended and a barbell in your hands, with your palms facing forward and your elbows bent., Keeping your core engaged and your back straight, lift the barbell up from your chest and press it straight up above your head., Lower the barbell back down to your chest.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-z-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-z-press-side.mp4#t=0.1"
Dumbbell Laying Silverback Shrug,Upper Body,Pull,Back,Dumbbell,"Lay on an incline bench with your arms hanging freely., Pull your shoulder blades back toward the ceiling.","Lay on an incline bench with your arms hanging freely., Pull your shoulder blades back toward the ceiling.",Overhand Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-laying-silverback-shrug-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-laying-silverback-shrug-side.mp4#t=0.1"
Dumbbell Silverback Shrug,Upper Body,Unknown,Back,Dumbbell,"Hinge forward slightly at the hips. Make sure to keep a flat back. Let your arms hang in front of you., Let your scapula protract, and then retract them. Imagine you have a pencil in your mid-back and squeeze it between your shoulder blades.","Hinge forward slightly at the hips. Make sure to keep a flat back. Let your arms hang in front of you., Let your scapula protract, and then retract them. Imagine you have a pencil in your mid-back and squeeze it between your shoulder blades.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-silverback-shrug-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-silverback-shrug-side.mp4#t=0.1"
TRX Y Raise,Upper Body,Pull,Shoulders,TRX,"Hold the TRX straps and lean away from the anchor point until the straps are taut., Keep both elbows mostly extended and raise both arms out and upwards., You should make a Y shape with your arms during the back portion of the exercise.","Hold the TRX straps and lean away from the anchor point until the straps are taut., Keep both elbows mostly extended and raise both arms out and upwards., You should make a Y shape with your arms during the back portion of the exercise.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-y-raise-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-y-raise-side.mp4#t=0.1"
Criss Cross Bow Tie Pose,Upper Body,Hold,Neck,Yoga,"Stand with your feet hip-width apart and your arms at your sides., Cross your right arm over your left arm, bringing your palms together in front of your chest., Lower your arms down so that your palms face down towards the ground, and your right elbow is resting on top of your left elbow., Hold for a few breaths, then switch sides.","Stand with your feet hip-width apart and your arms at your sides., Cross your right arm over your left arm, bringing your palms together in front of your chest., Lower your arms down so that your palms face down towards the ground, and your right elbow is resting on top of your left elbow., Hold for a few breaths, then switch sides.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-bow-tie-pose-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-bow-tie-pose-side.mp4#t=0.1"
Eagle Arms Chin Into Chest,Upper Body,Hold,Neck,Yoga,"Sit cross-legged on the floor and bring your arms out to the sides at shoulder height., Cross your right arm over your left, bending both elbows so that your forearms are parallel to the floor., Lift your elbows towards the ceiling and bring your hands together, then drop your chin towards your chest., Hold for a few breaths, then release your arms and repeat on the other side.","Sit cross-legged on the floor and bring your arms out to the sides at shoulder height., Cross your right arm over your left, bending both elbows so that your forearms are parallel to the floor., Lift your elbows towards the ceiling and bring your hands together, then drop your chin towards your chest., Hold for a few breaths, then release your arms and repeat on the other side.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-eagle-arm-chin-down-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-eagle-arm-chin-down-side.mp4#t=0.1"
Easy Pose Neck Stretch,Upper Body,Hold,Neck,Yoga,"Begin by sitting cross-legged on the floor., Slowly drop your chin towards your chest, feeling a stretch in the back of your neck., Inhale and lift your head up, then exhale and drop your right ear towards your right shoulder., Hold for a few breaths, then switch sides and repeat the stretch.","Begin by sitting cross-legged on the floor., Slowly drop your chin towards your chest, feeling a stretch in the back of your neck., Inhale and lift your head up, then exhale and drop your right ear towards your right shoulder., Hold for a few breaths, then switch sides and repeat the stretch.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-easy-pose-neck-stretch-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-easy-pose-neck-stretch-side.mp4#t=0.1"
Half Neck Rolls,Upper Body,Hold,Neck,Yoga,"Sit cross-legged on the floor and interlace your fingers behind your head., Drop your chin to your chest and roll your head to the right, bringing your right ear towards your right shoulder., Slowly roll your head back to center, then over to the left so that your left ear is close to your left shoulder., Repeat the movement from side to side, keeping your shoulders relaxed and breathing deeply.","Sit cross-legged on the floor and interlace your fingers behind your head., Drop your chin to your chest and roll your head to the right, bringing your right ear towards your right shoulder., Slowly roll your head back to center, then over to the left so that your left ear is close to your left shoulder., Repeat the movement from side to side, keeping your shoulders relaxed and breathing deeply.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-half-neck-rolls-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-half-neck-rolls-side.mp4#t=0.1"
Thread The Needle Hip Over Knees,Upper Body,Hold,Neck,Yoga,"Start on your hands and knees in a tabletop position., Slide your right knee up between your hands and place your right foot close to your left wrist., Take your left leg back and lower it down to the ground, keeping your toes tucked., Twist your torso to the right and reach your right arm underneath your left arm, threading the needle. Hold for a few breaths, then switch sides.","Start on your hands and knees in a tabletop position., Slide your right knee up between your hands and place your right foot close to your left wrist., Take your left leg back and lower it down to the ground, keeping your toes tucked., Twist your torso to the right and reach your right arm underneath your left arm, threading the needle. Hold for a few breaths, then switch sides.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-thread-the-needle-hip-over-knees-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-thread-the-needle-hip-over-knees-side.mp4#t=0.1"
Dips narrow elbows,Upper Body,Push,Arms,Bodyweight,"Hold your body at arms length above the equipment, Inhale and slowly lower yourself downward. Keep your elbows close to your body and your torso upright., Exhale, and using your triceps raise your body back to the starting position.","Hold your body at arms length above the equipment, Inhale and slowly lower yourself downward. Keep your elbows close to your body and your torso upright., Exhale, and using your triceps raise your body back to the starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-dips-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-dips-side.mp4#t=0.1"
Dumbbell Seated Overhead Tricep Extension,Upper Body,Push,Arms,Dumbbell,"Sit on the bench and hold a dumbbell with both hands. Raise the dumbbell overhead at arms length, holding the weight up with the palms of your hands., Keep your elbows in while you lower the weight behind your head, your upper arms stationary., Raise the weight back to starting position.","Sit on the bench and hold a dumbbell with both hands. Raise the dumbbell overhead at arms length, holding the weight up with the palms of your hands., Keep your elbows in while you lower the weight behind your head, your upper arms stationary., Raise the weight back to starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-overhead-tricep-extension-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-overhead-tricep-extension-side.mp4#t=0.1"
Machine Cable V Bar Push Downs,Upper Body,Push,Arms,Machine,"Grip the pulley bar with palms facing down at shoulder width., Stand straight with a small forward incline. Keep your upper arms close to your body, and slowly bring the pulley bar down until your arms are fully extended., Pause when you are at the contracted position of the motion, then slowly raise the pulley bar back to the starting point.","Grip the pulley bar with palms facing down at shoulder width., Stand straight with a small forward incline. Keep your upper arms close to your body, and slowly bring the pulley bar down until your arms are fully extended., Pause when you are at the contracted position of the motion, then slowly raise the pulley bar back to the starting point.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-push-downs-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-push-downs-side.mp4#t=0.1"
Bench Dips,Upper Body,Push,Arms,Bodyweight,"Grip the edge of the bench with your hands, Keep your feet together and legs straight., Lower your body straight down., Slowly press back up to the starting point., TIP: Make this harder by raising your feet off the floor and adding weight.","Grip the edge of the bench with your hands, Keep your feet together and legs straight., Lower your body straight down., Slowly press back up to the starting point., TIP: Make this harder by raising your feet off the floor and adding weight.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-tricep-dips-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-tricep-dips-side.mp4#t=0.1"
Barbell Laying Triceps Extensions,Upper Body,Push,Arms,Barbell,"Barbell Laying Triceps Extensions: A Comprehensive GuideSetupLie flat on a bench with your feet firmly planted on the ground and your head and shoulder blades securely on the bench.Grab a barbell and lift it over your head with your arms fully extended and your palms facing up.Ensure that the barbell is balanced above your chest and not leaning to one side or the other.How to PerformSlowly bend your arms and lower the barbell towards your forehead, keeping your elbows close to your head.Once you reach the desired depth, pause briefly and then extend your arms back to the starting position, fully extending your triceps.Repeat for the desired number of repetitions, making sure to maintain proper form and control throughout the movement.TechniqueKeep your shoulders relaxed and avoid shrugging or lifting them towards your ears.Maintain a slight arch in your lower back to reduce the risk of injury and increase activation of your triceps.Exhale as you extend your arms and inhale as you lower the barbell towards your forehead.Focus on engaging your triceps throughout the entire range of motion, from the bottom of the movement to the top.Things to AvoidBouncing the barbell off your forehead or using momentum to lift the weight.Allowing your elbows to flare out to the sides, which can put excessive strain on your shoulder joint.Rounding your lower back or arching too much, which can strain your spine and reduce the effectiveness of the exercise.Lifting too much weight and compromising form, which can increase the risk of injury and decrease the effectiveness of the exercise.","Lay on a flat bench while holding a barbell with a shoulder-width grip., Fully extend your elbows until the barbell is directly over your chest., Begin to flex your elbows and allow the barbell to nearly touch your forehead., Extend your elbows back to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-laying-tricep-extensions-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-laying-tricep-extensions-side.mp4#t=0.1"
Kettlebell Skull Crusher,Upper Body,Push,Arms,Kettlebell,"Lie on your back with knees in the air and soles of your feet flat on the floor., Hold the kettlebell in both hands directly above your chest., Keeping your upper arms in place, bend your elbows to slowly bring the kettlebell in front of your forehead., Return to the starting position and repeat.","Lie on your back with knees in the air and soles of your feet flat on the floor., Hold the kettlebell in both hands directly above your chest., Keeping your upper arms in place, bend your elbows to slowly bring the kettlebell in front of your forehead., Return to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-skullcrusher-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-skullcrusher-side.mp4#t=0.1"
Kettlebell Standing Tricep Extension,Upper Body,Push,Arms,Kettlebell,"Stand with legs shoulder width apart., Hold the kettlebell in both hands behind your head., Straighten arms bringing kettlebell above your head., Return to the starting position and repeat.","Stand with legs shoulder width apart., Hold the kettlebell in both hands behind your head., Straighten arms bringing kettlebell above your head., Return to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-tricep-extension-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-tricep-extension-side.mp4#t=0.1"
Kettlebell Decline Skull Crusher,Upper Body,Push,Arms,Kettlebell,"Lie on the floor with your upper back and soles of feet on the floor, knees bent, and pelvis and lower back suspended in the air., Hold the kettlebell in both hands directly above your chest., Keeping your upper arms in place, bend your elbows to bring the kettlebell to the floor above your head., Return the kettlebell to the starting position and repeat.","Lie on the floor with your upper back and soles of feet on the floor, knees bent, and pelvis and lower back suspended in the air., Hold the kettlebell in both hands directly above your chest., Keeping your upper arms in place, bend your elbows to bring the kettlebell to the floor above your head., Return the kettlebell to the starting position and repeat.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-decline-skull-crusher-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-decline-skull-crusher-side.mp4#t=0.1"
Kettlebell Tate Press,Upper Body,Push,Arms,Kettlebell,"Lie flat on your back. Keeping your arm straight, hold the kettlebell above your chest with your palm facing away from your body., Bend your arm, touching the kettlebell to the top of the shoulder opposite to the arm being worked., Return to the starting position and repeat.","Lie flat on your back. Keeping your arm straight, hold the kettlebell above your chest with your palm facing away from your body., Bend your arm, touching the kettlebell to the top of the shoulder opposite to the arm being worked., Return to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-tate-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-tate-press-side.mp4#t=0.1"
Triceps Stretch Variation Three,Upper Body,Push,Arms,Stretches,"Bend your left arm so your hand is at your shoulder, and hold your elbow with the opposite hand., Gently push on your elbow so it is raised by your head., Hold the stretch for a few seconds then repeat with the other arm.","Bend your left arm so your hand is at your shoulder, and hold your elbow with the opposite hand., Gently push on your elbow so it is raised by your head., Hold the stretch for a few seconds then repeat with the other arm.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-3-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-3-side.mp4#t=0.1"
Triceps Stretch Variation Two,Upper Body,Push,Arms,Stretches,"Hold a band so it is in line with your spine. Hold the top with your right hand and the bottom with your left., Keeping the top still, pull down on the band., Hold the stretch for a few seconds then repeat with the other arm.","Hold a band so it is in line with your spine. Hold the top with your right hand and the bottom with your left., Keeping the top still, pull down on the band., Hold the stretch for a few seconds then repeat with the other arm.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-2-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-2-side.mp4#t=0.1"
Triceps Stretch Variation One,Upper Body,Push,Arms,Stretches,"Use the opposite hand to gently apply pressure to the elbow., Hold the stretch for a few seconds then repeat with the other arm., Raise your left arm above your head, and bend at the elbow so your hand is resting at the top of your back.","Use the opposite hand to gently apply pressure to the elbow., Hold the stretch for a few seconds then repeat with the other arm., Raise your left arm above your head, and bend at the elbow so your hand is resting at the top of your back.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-1-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-triceps-stretch-variation-1-side.mp4#t=0.1"
Diamond Push Ups,Upper Body,Push,Arms,Bodyweight,"Position your index fingers and thumbs so they are touching, forming a diamond shape, Use a standard push up position, Lower your chest towards your hands, keep your elbows close to your body, Stop just before your chest touches the floor, then push back up to the starting position.","Position your index fingers and thumbs so they are touching, forming a diamond shape, Use a standard push up position, Lower your chest towards your hands, keep your elbows close to your body, Stop just before your chest touches the floor, then push back up to the starting position.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-diamond-pushup-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-diamond-pushup-side.mp4#t=0.1"
Barbell Close Grip Bench Press,Upper Body,Push,Arms,Barbell,"How To Perform The Close Grip Bench PressSetting UpFoot PlacementYou can either be flat footed or just have toes on the ground. Either way, push your toes to generate some tension in your quads. Generating tension through your whole body will help you lift more weight. Torso TechniquePoint your rib cage at the ceiling and pull your shoulder blades back really hard. Dig your shoulder blades into the bench. This will arch your spine somewhat. This is the only time it is ok to extend your spine. Because you are braced against the bench, the bench will soak up a lot of the tension that would otherwise fall on your lumbar spine.GripGrip width should be exactly shoulder width.  Bringing your hands closer than shoulder width will not increase the range of motion at your elbows (the joint the triceps act on). And going any closer than shoulder width tends to only put more stress on your wrist and shoulder joints. If you are not sure what a shoulder width grip is, simply point both of your arms straight out in front of you. You can also lay on the bench and do this. Use the markings on the bar to make sure your hands are even as well. Make sure the bar is set very deeply in your hands. This will help keep your wrists in a strong neutral position. Also, this will prevent your wrists from getting extended. Performing The close Grip Bench PressAfter you have unracked the bar, you will initiate the rep by breaking at the elbows. Took your elbows very hard into your side. The bar should land lower on your torso than it does with a normal bench press. As you tap your torso with the bar begin to press the bar back up toward the ceiling in a J shaped arc. Make sure to extend (but not hyperextend) your elbows at the top of each rep.","Lay flat on the bench with your feet on the ground. With a narrow grip on the bar, straighten your arms, Lower the bar to your lower-mid chest, Slowly raise the bar until youve locked your elbows.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-close-grip-bench-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-close-grip-bench-press-side.mp4#t=0.1"
Cable Push Down,Upper Body,Push,Arms,Cable,"How To Perform The Cable PushdownSet UpSet the cable pin all the way to the top. You can use a rope or a straight bar attachment for this exercise. In our demo video, we are using a rope so our instructions will be specific to that.Grab onto the rope and take a few steps back. You can start with your elbows in an extended or flexed position.Push your butt back slightly. This will get your hips out of the way giving your arms enough room to fully extend.Performing The Cable PushdownMy favorite cue to use on the Tricep Push Down is, ""TRex arms."" It's extremely important that you keep your upper arm and your elbows glued to your side. Your elbow joint should be causing the movement and your forearm should be the only moving body part. This will keep the stress and tension purely on your triceps and not recruit other body parts. Make sure to fully extend and flex your elbows on each rep.Be careful of swinging and bouncing on this exercise. It is very common to use too much weight on this exercise. If you find yourself having to use momentum, the weight is too heavy. Also, if you notice your shoulders beginning to roll forward on the concentric, the weight is too heavy. Your central nervous system is extremely intelligent and will help you get from point A to point B by any means necessary. It will begin trying to recruit your anterior deltoid and pec major by rolling your shoulders forward on top of the rope or straight bar so you can press the weight down instead of performing a strict Triceps Extension.","You can use any attachment for this. The cable should be set all the way at the top of the machine., Make sure to keep your upper arm glued at your side. Extend your elbows until you feel your triceps contract.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-pushdown-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-pushdown-front.mp4#t=0.1"
Cable Cross Pushdown,Upper Body,Push,Arms,Cable,"Either use two handles or no attachment at all. Both sides of the cable crossover should be set to the top., Stand in the center of the machine holding each Cable in the opposing hand. Your upper arm should be at a 45 degree angle with your torso., Extend your elbows until you feel a contraction and then return to the starting position","Either use two handles or no attachment at all. Both sides of the cable crossover should be set to the top., Stand in the center of the machine holding each Cable in the opposing hand. Your upper arm should be at a 45 degree angle with your torso., Extend your elbows until you feel a contraction and then return to the starting position",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-cross-push-down-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-cross-push-down-side.mp4#t=0.1"
Cable Skullcrusher,Upper Body,Push,Arms,Cable,"You can use a straight bar, rope, easy bar, or two handles. The cable should be set all the way to the top of the machine., Face away from the machine with your elbows up and the attachment just behind your head., Extend at the elbows until you feel a contraction in your triceps and then flex at the elbow back to the starting position.","You can use a straight bar, rope, easy bar, or two handles. The cable should be set all the way to the top of the machine., Face away from the machine with your elbows up and the attachment just behind your head., Extend at the elbows until you feel a contraction in your triceps and then flex at the elbow back to the starting position.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-skullcrusher-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-skullcrusher-front.mp4#t=0.1"
Cable Overhead Tricep Extension,Upper Body,Push,Arms,Cable,"You can use any attachment. The cable should be all the way to the bottom of the machine. Face away from the machine., Point your elbows straight up toward the ceiling., From there, extend your elbows until your fists are pointed straight toward the ceiling.","You can use any attachment. The cable should be all the way to the bottom of the machine. Face away from the machine., Point your elbows straight up toward the ceiling., From there, extend your elbows until your fists are pointed straight toward the ceiling.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-overhead-tricep-extension-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-overhead-tricep-extension-front.mp4#t=0.1"
Band Overhead Tricep Extension,Upper Body,Push,Arms,Band,"Stand with one or both feet on band. Go up and over your head with the band to the starting position., Flex and extend your elbows.","Stand with one or both feet on band. Go up and over your head with the band to the starting position., Flex and extend your elbows.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-overhead-tricep-extension-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-overhead-tricep-extension-side.mp4#t=0.1"
Band Pushdown,Upper Body,Push,Arms,Band,"Place the band just above eye level. Take a few steps away until the band is taut., Push your hips back slightly. Extend and flex at the elbows.","Place the band just above eye level. Take a few steps away until the band is taut., Push your hips back slightly. Extend and flex at the elbows.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-pushdown-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-pushdown-side.mp4#t=0.1"
Band Skullcrusher,Upper Body,Push,Arms,Band,,,N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-skullcrusher-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-skullcrusher-side.mp4#t=0.1"
