name,body_group,force,muscle_group,equipment,description
Single-arm side lying rear fly,Upper Body,Push,Shoulders,Dumbbell,"The single-arm side lying rear fly is an upper-body exercise that targets the rear deltoid of the shoulder. By performing the movement lying on a bench, it eliminates momentum from the rest of the body. This movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout."
Single-arm dumbbell upright row,Upper Body,Push,Shoulders,Dumbbell,"The single-arm dumbbell upright row is a popular movement for building stronger and bigger traps and shoulders. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. It is generally performed for moderate to high reps, such as 8-12 reps per set or more."
Dumbbell Scaption,Upper Body,Push,Shoulders,Dumbbell,not available
See-Saw Press (Alternating Side Press),Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell Incline Shoulder Raise,Upper Body,Push,Shoulders,Dumbbell,not available
Single-arm half-kneeling shoulder press,Upper Body,Push,Shoulders,Dumbbell,"The single-arm half-kneeling shoulder press is a popular exercise to target the deltoid muscles while also developing strength and stability in the core and hips. Balance can be a challenge, which is one reason why this movement is generally trained lighter than standing single-arm shoulder presses. The half-kneeling press can be used as an accessory lift for the shoulder press or bench press, or simply as a technique to make shoulder presses stricter and more athletic."
Dumbbell Clean And Jerk,Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell shoulder press with body rotation,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell shoulder press with body rotation is a twist on the traditional dumbbell shoulder press. Rather than pressing straight overhead, you twist your torso and hips to the side during each rep. It hits the deltoid muscles just like a shoulder press, but adds a challenge to the core, hips, and back muscles. Due to the potential balance challenge of twisting and pressing at the same time, it is commonly performed with light to moderate weights."
Dumbbell Fix Dumbbell Military Press,Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell Fix Standing Dumbbell Arnold Press,Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell Fix Dumbbell Single-Arm Snatch,Upper Body,Push,Shoulders,Dumbbell,not available
Paul Carter Rear-Delt Fly,Upper Body,Push,Shoulders,Dumbbell,"The seated rear delt fly is an upper-body exercise that targets the real deltoid of the shoulder. By performing the movement seated, it eliminates momentum from the rest of the body. This movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout."
FYR Dumbbell Shoulder Press,Upper Body,Push,Shoulders,Dumbbell,The standing dumbbell shoulder press is a classic deltoid-builder (especially the front deltoids) that’s ubiquitous in gyms around the world. Performing the move standing up as opposed to seated allows for more weight to be used.
FYR Single-Arm Dumbbell Press,Upper Body,Push,Shoulders,Dumbbell,"The single-arm standing shoulder press builds shoulder muscle but with two major differences from the standard seated dumbbell shoulder press. It’s done one arm at a time, as well as standing, which may allow more weight to be used."
FYR Dumbbell Tempo L-Raise,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell lateral raise is an upper body isolation exercise for building shoulder strength and muscle. It's a staple strength training move and is a great option for accessory work on upper body training days. This exercise particularly focuses on the lateral or medial head of the deltoid, making them appear wider and more developed."
Dumbbell seesaw shoulder press,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell seesaw shoulder press is an exercise targeting the deltoids and triceps. The difference between this movement and the alternating shoulder press is that both dumbbells keep moving throughout each rep, rather than having one weight be stationary while the other moves. This piston-style pressing increases time under tension and may allow you to complete more total reps than with alternating reps."
FYR Dumbbell front raise to lateral raise,Upper Body,Push,Shoulders,Dumbbell,The dumbbell front raise to lateral raise combines two exercises that build and strengthen the middle deltoids and the anterior deltoids of the shoulders.
FYR Dumbbell Arnold Press,Upper Body,Push,Shoulders,Dumbbell,"Named after the iconic bodybuilder/movie star, the Arnold press adds rotation to a classic shoulder press, hitting all three heads of the deltoids in one motion."
FYR Dumbbell Military Press to Dumbbell High Pull to V-up,Upper Body,Push,Shoulders,Dumbbell,not available
FYR Dumbbell Thruster,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell thruster, which begins with a squat and ends with an overhead press, works the entire body at once in a single fluid motion. This exercise is often performed with kettlebells, but dumbbells work great, too."
Dumbbell hang snatch,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell hang snatch is an explosive exercise that builds full-body power and targets the muscles of the hips, back, and shoulders. Performing the movement from the hang position, rather than from the ground, emphasizes explosive hip and upper-body power. It can be performed for low reps with a focus on power and speed, or for higher reps to build muscle or as part of a metabolic conditioning circuit."
Surfer sprawl,Upper Body,Push,Shoulders,Dumbbell,"The surfer sprawl is an explosive bodyweight exercise that targets multiple muscle groups across the upper and lower body. It is similar to a burpee, but instead of jumping at the top, you end in a ""surfer position,"" alternating sides with each rep. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout. The surfer position offers a unique way to challenge the body by staying in a low position rather than standing up after the plank."
Dumbbell clean and press,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell clean and press is a full-body movement that targets both the lower and upper body. The clean utilizes the muscles of the hips, legs, glutes, back, and biceps, while the press utilizes the shoulders and triceps. It can be trained in low to moderate reps for strength, or for higher reps, such as 8-12 reps per set or more, for muscle building or metabolic conditioning."
Standing One-Arm Shoulder Press - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,"The single-arm standing shoulder press builds shoulder muscle but with two major differences from the standard seated dumbbell shoulder press. It’s done one arm at a time, as well as standing, which may allow more weight to be used."
Incline Front Dumbbell Raise - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,The incline dumbbell front raise is an isolation exercise targeting the shoulders
Dumbbell lateral raise,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell lateral raise is a shoulder exercise that targets the medial or middle head of the deltoid muscle. It's a staple strength-training move and is a great option for accessory work on upper-body training days. It is usually performed for moderate to high reps, at least 8-12 reps, as part of the upper-body or shoulder-focused portion of a workout."
Incline Rear-Delt Fly - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more."
Incline Bench Rear Dumbbell Fly - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more."
Dumbbell front raise and press,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell front raise and press combines two upper-body moves into one challenging sequence targeting the deltoid muscles. It's a simple way to boost your heart rate while getting a good upper-body pump, and is a natural fit in time-efficient upper-body or circuit training."
Rotator cuff warm-up,Upper Body,Push,Shoulders,Dumbbell,"The rotator cuff warm-up is a simple exercise targeting the rotator cuffs through weighted shoulder external rotation. It's a classic way to warm up the shoulder prior to sports or training, as well as a common rehab movement. The rotator cuffs are a notorious injury-prone structure in the shoulders of Major League pitchers and other athletes. This is a movement most commonly done for moderate to high reps, such as 8-12 reps or more per set."
Seated Lateral Raise - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,"The seated dumbbell lateral raiseis an iconic exercise for developing the shoulders. If you’ve ever worked out with weights, chances are you’ve done this move at some point. Proper execution is paramount to avoid injury."
Single-arm dumbbell arc row,Upper Body,Push,Shoulders,Dumbbell,"The single-arm dumbbell arc row is an exercise for building the latissimus dorsi, or lat, muscles of the back. This variation has more of an arcing shape than the traditional single-arm dumbbell row, which may increase the mind-muscle connection and hit the back from a different angle. You probably won't be able to go as heavy on this as on a traditional row."
Incline Rear Delt Raises - Gethin Variation,Upper Body,Push,Shoulders,Dumbbell,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more."
Incline Dumbbell Y Raise,Upper Body,Push,Shoulders,Dumbbell,not available
HM Bent-Over Rear-Delt Fly,Upper Body,Push,Shoulders,Dumbbell,not available
HM Dumbbell Shoulder Press,Upper Body,Push,Shoulders,Dumbbell,not available
HM Single-Leg Overhead Dumbbell Press,Upper Body,Push,Shoulders,Dumbbell,not available
6 Way Shoulder Raise,Upper Body,Push,Shoulders,Dumbbell,not available
Seated dumbbell lateral raise,Upper Body,Push,Shoulders,Dumbbell,"The seated dumbbell lateral raise is an exercise that targets the shoulder muscles, particularly the medial or middle head of the deltoids. Performing it on a bench helps enforce strict form and eliminate swinging or using momentum to move the weights. Lateral raise variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout."
AM Dumbbell Shoulder Press,Upper Body,Push,Shoulders,Dumbbell,"The seated dumbbell shoulder pressis an exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also assist. Some lifters feel that using dumbbells versus a barbell reduced injury risk."
AM Dumbbell Side Raise,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell lateral raise is an upper body isolation exercise for building shoulder strength and muscle. It's a staple strength training move and is a great option for accessory work on upper body training days. This exercise particularly focuses on the lateral or medial head of the deltoid, making them appear wider and more developed."
AM Front Raise,Upper Body,Push,Shoulders,Dumbbell,"The alternating dumbbell front raise is an isolation movement that targets the shoulders. By using one arm at a time, you can use more weight than when you use both arms at once. Bodybuilders use this exercise to zero in on the front shoulders, but the simple movement also makes it great for people new to lifting weights."
UP Dumbbell Lateral Raise,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell lateral raise is an upper body isolation exercise for building shoulder strength and muscle. It's a staple strength training move and is a great option for accessory work on upper body training days. This exercise particularly focuses on the lateral or medial head of the deltoid, making them appear wider and more developed."
UP Seated Dumbbell Overhead Press,Upper Body,Push,Shoulders,Dumbbell,"The seated dumbbell shoulder pressis an exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also assist. Some lifters feel that using dumbbells versus a barbell reduced injury risk."
AA Incline Bench Dumbbell Reverse Fly,Upper Body,Push,Shoulders,Dumbbell,not available
CM Forward Shoulder Press,Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell Halo,Upper Body,Push,Shoulders,Dumbbell,not available
Standing Dumbbell Scap Raise,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Slow Weighted Half Jack to Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Slow Arnold Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Boat Arnold Press with Feet Push-Out,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Dumbbell Hip Drive to Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Squat Thrust to Alternating Renegade Triceps Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Cheer Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Left Arm Press with Right Arm Hold,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Right Arm Press with Left Arm Hold,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Left Front Raise with Right Hold,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Right Front Raise with Left Hold,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Alternating Front Raise to Side Raise,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Heavy Right Arm Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Heavy Left Arm Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Right Arm Heavy Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Right Diagonal Lunge to Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Left Arm Heavy Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Holman Weighted Palms-In Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Dumbbell racked carry,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell racked carry involves carrying dumbbells for time or distance, while holding them close to the shoulders in a front-racked position. Similar to a dumbbell farmer's carry, it can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Dumbbell clean and push-press,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell clean and push-press is a full-body movement that targets both the lower and upper body. The clean utilizes the muscles of the hips, legs, glutes, back, and biceps, while the push-press utilizes the shoulders and triceps. It differs from the clean and press in that the push-press allows you to use lower-body momentum to power through the most difficult part of the press. It can be trained in low to moderate reps for strength, or for higher reps, such as 8-12 reps per set or more, for muscle building or metabolic conditioning."
Total Fitness Dumbbell Farmer's Carry,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell farmer's walk or carry is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Single-arm dumbbell racked carry,Upper Body,Push,Shoulders,Dumbbell,"The single-arm dumbbell racked carry involves carrying a single dumbbell for time or distance, while holding it close to the shoulders in a front-racked position. Similar to a dumbbell farmer's carry, it can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Jordan Shallow Dumbbell Pull-Over,Upper Body,Push,Shoulders,Dumbbell,not available
King Maker Dumbbell Lateral Raise,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell lateral raise is an upper body isolation exercise for building shoulder strength and muscle. It's a staple strength training move and is a great option for accessory work on upper body training days. This exercise particularly focuses on the lateral or medial head of the deltoid, making them appear wider and more developed."
Dumbbell shadow boxing,Upper Body,Push,Shoulders,Dumbbell,"Dumbbell shadow boxing is a more advanced version of a popular conditioning exercise. By adding a pair of lightweight dumbbells, you can greatly increase the challenge to both the shoulders and cardiovascular system."
King Maker Dumbbell Farmer's Carry,Upper Body,Push,Shoulders,Dumbbell,"The dumbbell farmer's walk or carry is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
King Maker Dumbbell Shrug,Upper Body,Push,Shoulders,Dumbbell,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It’s a often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training."
30 Shoulders Alternating Dumbbell Front Raise,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Bent-Over Dumbbell Reverse Fly,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Dumbbell Front Raise,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Dumbbell Lateral Raise,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Dumbbell Shrug,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Incline Face-Down Dumbbell Reverse Fly,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Seated Dumbbell Front Raise,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Seated Dumbbell Side Raise,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Neutral-Grip Arnold Press,Upper Body,Push,Shoulders,Dumbbell,not available
30 Shoulders Standing Dumbbell Upright Row,Upper Body,Push,Shoulders,Dumbbell,not available
MetaBurn 3-Way Shoulder Raise,Upper Body,Push,Shoulders,Dumbbell,not available
MetaBurn Dumbbell Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
MetaBurn Single-Leg Arnold Press,Upper Body,Push,Shoulders,Dumbbell,not available
RG Forward-Leaning Dumbbell Upright Row,Upper Body,Push,Shoulders,Dumbbell,not available
RG Alternating Seated Dumbbell Lateral Raise,Upper Body,Push,Shoulders,Dumbbell,not available
RG Seated Dumbbell Shoulder Press,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Dumbbell Clean and Jerk,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Dumbbell Cross-Body Front Raise,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Dumbbell Front Raise,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Dumbbell Lateral Raise,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Lateral Raise Hold,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Seesaw Dumbbell Military Press,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Single-Dumbbell Halo,Upper Body,Push,Shoulders,Dumbbell,not available
FYR2 Single-Dumbbell Overhead Press,Upper Body,Push,Shoulders,Dumbbell,not available
Car driver,Upper Body,Push,Shoulders,Other,"The car driver is a variation of the plate front raise exercise where the lifter holds a weight plate in front of them and twists it from side to side, similar to a steering wheel. It targets the muscles of the shoulders, the front or anterior deltoids in particular, but is also challenging to the core and upper-back muscles. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit."
Front Plate Raise,Upper Body,Push,Shoulders,Other,"The plate front raise is a variation of the dumbbell front raise where the lifter holds a weight plate between two hands, rather than using a dumbbell, barbell, or other weight. It can provide variety in a shoulder-focused muscle-building workout, or as part of an upper body or full-body circuit."
Battle ropes,Upper Body,Push,Shoulders,Other,"Battle ropes are an explosive training tool that involves moving the rope in waves with the other end of the rope anchored at ground level. There are many different types of waves, but the most common is alternating waves with the left and right hands. The battle ropes can be performed for short bursts as power training, for longer durations as cardiovascular training, or as a component of a conditioning or fat-loss circuit."
Circus Bell,Upper Body,Push,Shoulders,Other,not available
Landmine Linear Jammer,Upper Body,Push,Shoulders,Other,"The linear jammer is an explosive pressing movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The linear jammer involves pressing the weight into the air, then catching it with the other hand. The movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges, for lower reps with a focus on explosive pressing power, or for higher reps."
Crucifix,Upper Body,Push,Shoulders,Other,not available
Bar shoulder extension stretch,Upper Body,Push,Shoulders,Other,The bar shoulder extension stretch is a technique to increase overhead mobility (known as shoulder flexion) and thoracic extension with the help of a bar or other stable object. It is often used as part of a warm-up before upper-body training.
Chair Upper Body Stretch,Upper Body,Push,Shoulders,Other,not available
Sled Reverse Flye,Upper Body,Push,Shoulders,Other,not available
Plate shoulder circle big to small,Upper Body,Push,Shoulders,Other,"The plate shoulder circle big to small is an exercise targeting the shoulder complex. Typically, this is considered a warm-up move rather than a working exercise. It warms up the shoulder joint and works small and hard-to-attack muscles such as the rotator cuff group."
Sled Overhead Backward Walk,Upper Body,Push,Shoulders,Other,not available
Log Lift,Upper Body,Push,Shoulders,Other,not available
Standing suspended rear delt fly,Upper Body,Push,Shoulders,Other,"The standing suspended rear delt fly is a bodyweight movement targeting the shoulders and upper back using a suspension strap system or gymnastic rings. It can be performed for time or reps as part of a dynamic warm-up for an upper-body strength workout, or in the workout itself either in traditional muscle-building rep ranges or for higher reps."
Waiter's carry,Upper Body,Push,Shoulders,Other,"The waiter's carry is a type of loaded carry that targets the core, shoulders, and upper back. A weight is raised overhead with a single arm before the lifter begins walking in that position. It resembles a waiter carrying a tray overhead—hence the name. It can be performed for time or distance."
Towel dumbbell front raise,Upper Body,Push,Shoulders,Other,The towel dumbbell front raise is a variation of the dumbbell front raise that involves hanging a dumbbell from a towel held in the hands. It could also be performed with a kettlebell or weight plate. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit.
Reach-roll-lift combo,Upper Body,Push,Shoulders,Other,"The reach-roll-lift combo is a mobility drill for the upper back and shoulders. It can be part of a dynamic warm-up for upper-body workouts, or as postural training anytime."
Upright Row - Gethin Variation,Upper Body,Push,Shoulders,Other,The barbell upright row is a barbell exercise that builds stronger and bigger traps. Many lifters combine this move with either their back or shoulder workout since it involves both body parts.
Squat Press Shoulder Press - Gethin Variation,Upper Body,Push,Shoulders,Other,not available
Plate lateral raise,Upper Body,Push,Shoulders,Other,"The plate lateral raise is an exercise targeting the side heads of the shoulder muscles or deltoids. It closely resembles the more popular dumbbell lateral raise, but is performed with light plates, making the movement slightly more difficult. It is usually performed for moderate to high reps as part of a shoulder or upper-body workout."
Standing Military Press - Gethin Variation,Upper Body,Push,Shoulders,Other,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training."
Bent-over plate rear delt raise,Upper Body,Push,Shoulders,Other,"The bent-over plate rear delt raise is an exercise targeting the rear heads of the shoulders, or deltoids. You can also use dumbbells or other light weights for a similar effect. This movement is usually performed as part of a dynamic warm-up or as a high-rep burnout movement on a shoulder or back day."
Single-arm landmine press,Upper Body,Push,Shoulders,Other,"The single-arm landmine press is an upper-body exercise that uses an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The angle of a landmine press is usually somewhere between an incline press and a military press, and the movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges or for higher reps."
Plate front raise,Upper Body,Push,Shoulders,Other,"The plate front raise is a variation of the front raise where the lifter holds a weight plate between two hands, rather than using a dumbbell, barbell, or other weight. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit."
Holman Slow Overhead Press,Upper Body,Push,Shoulders,Other,not available
30 Shoulders Plate Front Raise,Upper Body,Push,Shoulders,Other,not available
Single-arm landmine push-press,Upper Body,Push,Shoulders,Other,"The single-arm landmine push-press is an explosive upper-body exercise that uses an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The angle of a landmine press is usually somewhere between an incline press and a military press, and the movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges or for higher reps."
Single-arm cable front raise,Upper Body,Push,Shoulders,Cable,"The single-arm cable front raise is an isolation exercise targeting the anterior and medial deltoids or shoulder muscles. The single-arm version of this movement allows you to focus on each side independently. Because grip will be a limitation, it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
Cable Internal Rotation,Upper Body,Push,Shoulders,Cable,not available
Seated face pull,Upper Body,Push,Shoulders,Cable,"The seated face pull is a cable exercise targeting the shoulder muscles, particularly the rear delts, and the muscles of the upper back. This can help build healthier shoulders and posture, and increase shoulder stability. It is usually performed for moderate to high reps as part of a dynamic warm-up for an upper-body workout or in the main part of a shoulder-focused workout."
Single-arm bent-over cable rear delt fly,Upper Body,Push,Shoulders,Cable,"The single-arm bent-over cable rear delt fly is an exercise targeting the rear deltoids. It is a great way to isolate this area of the shoulder and attack each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
Seated cable shoulder press,Upper Body,Push,Shoulders,Cable,"The seated cable shoulder press is a multijoint machine-based exercise that focuses on the deltoid or shoulder muscles, as well as the triceps. It's most common in muscle-building workouts and rep ranges, usually 8-12 reps or more."
Standing face pull,Upper Body,Push,Shoulders,Cable,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment."
Standing cable rear delt row,Upper Body,Push,Shoulders,Cable,"The standing cable rear delt row primarily targets the rear deltoids. This movement also hits the traps, rhomboids, and biceps. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
Standing Low-Pulley Deltoid Raise,Upper Body,Push,Shoulders,Cable,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back, and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, like at least 8-12 reps per set, as part of an upper body or shoulders-focused workout."
Standing crossed-cable rear delt fly,Upper Body,Push,Shoulders,Cable,"The standing crossed-cable rear delt fly is an isolation exercise for the rear deltoids. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
Cable Shoulder Press,Upper Body,Push,Shoulders,Cable,not available
Alternating Cable Shoulder Press,Upper Body,Push,Shoulders,Cable,not available
Cable Seated Lateral Raise,Upper Body,Push,Shoulders,Cable,not available
Single-arm lying cable front raise,Upper Body,Push,Shoulders,Cable,"The single-arm lying cable front raise is an isolation exercise for the shoulders, performed lying on the back, either on a bench or the ground, and lifting the cable over the torso one arm at a time. This movement is usually performed for moderate to high reps for a burn and pump as part of a shoulder-focused workout."
Lying cable front raise,Upper Body,Push,Shoulders,Cable,"The lying cable front raise is an isolation exercise for the shoulders, particularly the front deltoids. It is performed lying on the back, either on a bench or the ground, with the cable lifted over the torso. This movement is usually performed for moderate to high reps for a burn and pump as part of a shoulder-focused workout."
Cable Rear Delt Fly - Gethin Variation,Upper Body,Push,Shoulders,Cable,"The standing crossed-cable rear delt fly is an isolation exercise for the rear deltoids. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
One-Arm Cable Side Raise - Gethin Variation,Upper Body,Push,Shoulders,Cable,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back, and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, like at least 8-12 reps per set, as part of an upper body or shoulders-focused workout."
Rope Face Pull - Gethin Variation,Upper Body,Push,Shoulders,Cable,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment."
Lying cable lateral raise,Upper Body,Push,Shoulders,Cable,"The lying cable lateral raise is an isolation exercise that targets the medial or middle deltoid muscle of the shoulders. It is most common in muscle-building shoulder or upper-body workouts, usually in higher rep ranges of at least 8-12 reps per set."
Cable seated row,Upper Body,Push,Shoulders,Cable,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep ranges but is most popular in muscle-building workouts or as an accessory movement for strength workouts."
Single-arm cable lateral raise,Upper Body,Push,Shoulders,Cable,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout."
UP Cable Face Pull,Upper Body,Push,Shoulders,Cable,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment."
AA Cable Leaning Side Raise,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Bent-Over Low Cable Reverse Fly,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Cable Rope Face Pull,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Cable Straight-Bar Front Raise,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Cable Straight-Bar Upright Row,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders High Cable Reverse Fly,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Single-Arm Bent-Over Cable Reverse Fly,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Single-Arm Cable Front Raise,Upper Body,Push,Shoulders,Cable,not available
30 Shoulders Single-Arm Leaning Cable Lateral Raise,Upper Body,Push,Shoulders,Cable,not available
RG 3-Way Single-Arm Rear Delt Cable Fly,Upper Body,Push,Shoulders,Cable,not available
RG Single-Arm Cross-Body Cable Front Raise,Upper Body,Push,Shoulders,Cable,not available
Smith machine shoulder press,Upper Body,Push,Shoulders,Machine,"The Smith machine shoulder press is a machine-based exercise targeting the deltoid muscles. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a shoulder or upper-body focused workout."
